"","sample.size","n.states","R","ARMA","TMB"
"1",100,2,0.0390202020202027,0.00368686868686828,0.00623232323232285
"2",1000,2,0.252282828282827,0.0263333333333343,0.015575757575757
"3",10000,2,2.73062626262626,0.293313131313128,0.175242424242422
"4",100,4,0.799363636363639,0.100484848484845,0.0151212121212117
"5",1000,4,6.1420505050505,1.01723232323232,0.141505050505055
"6",10000,4,62.479797979798,10.5136969696969,1.61176767676766
"7",100,6,2.32909090909083,0.43192929292926,0.0281919191918749
"8",1000,6,17.8035252525254,4.25104040404027,0.265050505050521
"9",10000,6,NA,51.492758,3.371596
